goals	lda_topics_goals	topic0_contrib_lda_topics_goals	topic1_contrib_lda_topics_goals	topic2_contrib_lda_topics_goals	topic3_contrib_lda_topics_goals	topic4_contrib_lda_topics_goals	topic5_contrib_lda_topics_goals	topic6_contrib_lda_topics_goals	topic7_contrib_lda_topics_goals	topic8_contrib_lda_topics_goals
to show off / brag	1	0.02649812	0.7372546	0.02240112	0.03869346	0.02420358	0.03468927	0.03833058	0.03565523	0.04227402
talk to friends	6	0.01952566	0.01707415	0.0165067	0.02851204	0.01783486	0.02556147	0.8175524	0.02627325	0.03115948
To show my friends / family what I’m doing during quarantine	6	0.01279382	0.01118758	0.0108157	0.01868197	0.01168598	0.01674867	0.5585922	0.01721505	0.342279
art	3	0.041212	0.03603768	0.03484	0.6155014	0.03764329	0.05395153	0.05961232	0.05545386	0.06574793
keep up with people s lives	6	0.02649719	0.02317037	0.02240032	0.0386921	0.0242027	0.03469055	0.7524124	0.03565397	0.04228041
interaction with friends	6	0.02649879	0.02317178	0.02240168	0.03869443	0.02420415	0.03469014	0.7523868	0.03565612	0.04229609
be entertained	4	0.0412119	0.0360376	0.03483992	0.06017902	0.5929665	0.0539514	0.05961218	0.05545372	0.06574778
to  Direct Message friends	1	0.01545872	0.48712096	0.01306857	0.02257334	0.01412008	0.02023734	0.02237146	0.02080087	0.38424873
Stay in touch with friends and family	8	0.01091244			0.01593472		0.01428572	0.0158056	0.42332613	0.49100032
Find some good quotes	1	0.01545929	0.6384563	0.01306906	0.02259264	0.0141206	0.02023809	0.02236154	0.22903934	0.02466311
post pictures	0	0.80881274	0.0170741	0.01650666	0.02851992	0.01783481	0.0255614	0.0282434	0.02627319	0.03117376
Send funny stuff to my friends	8	0.01279379	0.01118747	0.01081567	0.01868707	0.01168591	0.01675127	0.01850954	0.01721499	0.88235426
Catching up with friends	6	0.0195257	0.01707418	0.01650673	0.02851209	0.01783489	0.02556152	0.817552	0.0262733	0.03115953
talk to family members	6	0.01952793	0.01707613	0.01650862	0.02851535	0.01783693	0.2885654	0.55447024	0.0262763	0.03122307
Keep in touch with my friends	6	0.01545846	0.0135176	0.01306835	0.02257297	0.01411985	0.02023701	0.8555577	0.02080119	0.02466693
to help with boredom	3	0.0264986	0.02317148	0.0224014	0.3957058	0.38127327	0.03468971	0.03832948	0.03565568	0.04227456
To stay connected to friends 	8	0.01545854	0.01351767	0.01306842	0.02257308	0.01411992	0.02023711	0.02236708	0.02080796	0.85785013
Follow my friends	6	0.02649723	0.02317042	0.02240037	0.03870288	0.02420273	0.0346881	0.39532343	0.39268973	0.04232516
Check in on friends	1	0.01952564	0.8063008	0.0165067	0.02851201	0.01783484	0.02556145	0.028281	0.02627323	0.03120432
look at people s posts	3	0.02649741	0.02317036	0.02240031	0.75271136	0.02420268	0.03468802	0.03832762	0.03565394	0.04234827
keep myself updated with the rest of the world	6	0.01279449	0.0111881	0.01081627	0.01868844	0.01168656	0.01674954	0.8804488	0.01721595	0.0204118
art post	3	0.0264975	0.02317043	0.02240038	0.7527246	0.02420276	0.03468814	0.03832774	0.03565406	0.04233441
Seeing what friends are up to	8	0.01952562	0.01707411	0.01650666	0.02851196	0.01783482	0.02556658	0.02825327	0.02627319	0.82045376
To stay up to date with people	6	0.01952611	0.01707454	0.01650708	0.02851269	0.01783527	0.02556206	0.6178061	0.22600909	0.03116708
entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.5929678	0.05395122	0.05961198	0.05545354	0.06574756
Sweepstakes	4	0.04121294	0.0360385	0.03484079	0.06018052	0.59295624	0.05395276	0.05961367	0.05545512	0.06574942
See what is new	5	0.02649736	0.02317043	0.37943769	0.0386922	0.0242028	0.39168957	0.03833083	0.03565948	0.04231964
pass the time	0	0.808843	0.01707413	0.01650669	0.02851202	0.01783485	0.02556146	0.02824422	0.02627324	0.03115042
connect with friends	2	0.01952562	0.01707412	0.8057839	0.02851198	0.01783482	0.02556142	0.02826065	0.0262732	0.03117428
tattoo research	1	0.02650002	0.73723733	0.02240272	0.03869623	0.02420528	0.03469176	0.03833174	0.03565778	0.04227705
Staying connected with friends	2	0.01545848	0.01351762	0.6379434	0.022573	0.01411987	0.02023704	0.0223745	0.22908431	0.02469184
To talk to people	6	0.04121191	0.0360376	0.03483992	0.06017903	0.0376432	0.05395141	0.6149354	0.05545374	0.06574778
to stay motivated	8	0.02649916	0.02317209	0.02240198	0.03869496	0.02420449	0.03469062	0.03833451	0.03568376	0.7563185
Track the celebrities I follow	7	0.01952661	0.01707497	0.0165075	0.02851702	0.01783572	0.02557008	0.3420798	0.50173634	0.03115195
To lurk on people	6	0.04121643	0.03604156	0.03484374	0.06018563	0.03764733	0.05395732	0.61489314	0.05545982	0.065755
for entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.5929678	0.05395122	0.05961198	0.05545354	0.06574756
keep in touch	6	0.01952566	0.01707414	0.0165067	0.02851204	0.01783486	0.02556147	0.8175603	0.02627441	0.03115044
Get in touch with my friend s life	6	0.01279393	0.01118756	0.01081575	0.01868205	0.011686	0.0167493	0.6952653	0.20240325	0.02041692
To entertain myself	4	0.0412119	0.0360376	0.03483992	0.06017902	0.5929665	0.0539514	0.05961218	0.05545372	0.06574778
Inspiration	0	0.5965273	0.03603748	0.0348398	0.06017882	0.03764308	0.05395122	0.05961198	0.05546272	0.06574756
Let people know what I m doing	5	0.01952596	0.0170744	0.01650695	0.02851246	0.01783513	0.8148766	0.0282439	0.02627365	0.03115091
check other s life update	6	0.01952571	0.28018177	0.01650674	0.0285121	0.0178349	0.02557096	0.29132807	0.28937486	0.0311649
entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.5929678	0.05395122	0.05961198	0.05545354	0.06574756
